{1D0FAF56-45A9-44A9-821A-7B72AD16554C},335000,1995-03-03 00:00,SW1V 2DN,F,Y,L,"FARINGTON HOUSE, 22",FLAT 5,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{79D3D87A-DD7E-4AB5-9479-7EFDB11F80DD},36995,1995-10-12 00:00,SG1 2AJ,F,Y,L,62,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{329C5FD0-ABA3-4802-BDEA-87A380F97C0F},221000,1995-04-05 00:00,SW1V 2DN,F,Y,L,"RAEBURN HOUSE, 20",FLAT 8,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{D766B1EB-CDE2-4F79-ABD2-8ED1136DFC92},44995,1995-08-10 00:00,SG1 2AJ,F,Y,L,57,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{7F0AD71B-5D44-43DE-A042-A6F2634DF437},74950,1995-08-24 00:00,IP2 8RS,D,Y,F,89,,MONMOUTH CLOSE,IPSWICH,IPSWICH,IPSWICH,SUFFOLK,A,A
{1160E9CD-7801-4394-8B29-8B2F856B9C42},300000,1995-06-16 00:00,SW1V 2DN,F,Y,L,"FARINGTON HOUSE, 22",FLAT 12,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{C68D09E2-4AFB-4D91-AD00-AE1427ABC892},69300,1995-10-30 00:00,TW3 4BZ,F,Y,L,MARYGOLD HOUSE,FLAT 11,TAYLOR CLOSE,HOUNSLOW,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A
{DFDC34EB-95F6-4CE5-A149-A6FFC6040A2F},77500,1995-06-09 00:00,NE32 4SW,D,Y,L,30,,CALF CLOSE DRIVE,JARROW,JARROW,SUNDERLAND,TYNE AND WEAR,A,A
{A38978E8-CA44-4062-9C2C-7B88C403D0D7},33100,1995-09-15 00:00,IP2 8RS,F,Y,F,52,,MONMOUTH CLOSE,IPSWICH,IPSWICH,IPSWICH,SUFFOLK,A,A
{53A43A64-45F1-43A8-BFBE-F1B03EFBFAE2},92000,1995-12-08 00:00,IP2 8RS,D,Y,F,38,,MONMOUTH CLOSE,IPSWICH,IPSWICH,IPSWICH,SUFFOLK,A,A
